1894 QUESTION  How far is it from Earth to Mars?
1895 QUESTION  How late is Disneyland open?
1896 QUESTION  What was the Hunchback of Notre Dame's real name?
1897 QUESTION  What is the name of the airport in Dallas Ft. Worth?
1898 QUESTION  What city is Disneyland in?
1899 QUESTION  What book did Rachel Carson write in 1962?
1900 QUESTION  What country is Aswan High Dam located in?
1903 QUESTION  How many time zones are there in the world?
1904 QUESTION  How high is the pitcher's mound?
1906 QUESTION  How did the disciple Peter die?
1908 QUESTION  What is the population of Iceland?
1909 QUESTION  What business was the source of John D. Rockefeller's fortune?
1910 QUESTION  What are pennies made of?
1911 QUESTION  What is the name of the chart that tells you the symbol for all chemical elements?
1912 QUESTION  In which city is the River Seine?
1914 QUESTION  What city is the home to the Rock and Roll Hall of Fame?
1916 QUESTION  What city did Duke Ellington live in?
1918 QUESTION  How did Jimi Hendrix die?
1919 QUESTION  How big is Mars?
1920 QUESTION  When was "Cold Mountain" written?
1921 QUESTION  How did Virginia Woolf die?
1922 QUESTION  How fast is an eye blink?
1924 QUESTION  When was the first hair dryer made?
1925 QUESTION  What did Ozzy Osbourne bite the head off of?
1926 QUESTION  When was the U.S. capitol built?
1927 QUESTION  How did George Washington die?
1928 QUESTION  how did Patsy Cline die
1929 QUESTION  What band did the music for the 1970's film "Saturday Night Fever"?
1930 QUESTION  What band was Jerry Garcia with?
1931 QUESTION  When was Prince Charles born?
1932 QUESTION  When did International Volunteers Day begin?
1934 QUESTION  What is the play "West Side Story" based on?
1935 QUESTION  What color is the top stripe on the U.S. flag?
1936 QUESTION  How many stories are in the Sears Tower?
1937 QUESTION  How fast can a nuclear submarine travel?
1938 QUESTION  How many floors are in the Empire State Building?
1939 QUESTION  How did Einstein die?
1941 QUESTION  What membrane controls the amount of light entering the eye?
1942 QUESTION  How many Olympic Games were canceled because of World War I?
1943 QUESTION  What is the name of Ling Ling's mate?
1944 QUESTION  What did George Washington call his house?
1945 QUESTION  When was Adolf Hitler born?
1946 QUESTION  What day and month did Nixon resign?
1947 QUESTION  What country did Catherine the Great rule?
1948 QUESTION  What is the word which means one hiring his relatives?
1949 QUESTION  What is the nickname of the British flag?
1950 QUESTION  Who created the literary character Phineas Fogg?
1951 QUESTION  What beach was "I Dream of Jeannie" filmed on?
1952 QUESTION  How late will airlines let you fly in pregnancy?
1953 QUESTION  How many NFL teams are there?
1954 QUESTION  What country made the Statue of Liberty?
1956 QUESTION  What country is the largest in square miles?
1958 QUESTION  How fast can a king cobra kill you?
1959 QUESTION  What does cc mean in letter writing?
1960 QUESTION  How many gas stations are there in the United States?
1961 QUESTION  What position did Satchel Paige play in professional baseball?
1962 QUESTION  What country is know as the "Land of the Rising Sun"?
1965 QUESTION  What company manufactures Sinemet?
1966 QUESTION  What capital city do you see from the top of Bunker Hill?
1967 QUESTION  What party led Australia from 1983 to 1996?
1968 QUESTION  What fruit's stone does Laetrile come from?
1969 QUESTION  What does ACLU stand for?
1970 QUESTION  What is the national airline of Spain?
1971 QUESTION  What city is the Liberty Bell currently located in?
1973 QUESTION  What player on a basketball team usually plays the post or pivot position?
1974 QUESTION  What is Richie's surname on "Happy Days"?
1975 QUESTION  How did Cleopatra die?
1976 QUESTION  What is the motto for the Boy Scouts?
1977 QUESTION  How large in square miles is North Carolina?
1978 QUESTION  How big is the sun?
1979 QUESTION  How many moons does Venus have?
1980 QUESTION  How far is the moon from Earth in miles?
1981 QUESTION  How long is the Great Barrier Reef?
1982 QUESTION  What movie won the Academy Award for best picture in 1989?
1983 QUESTION  When was Lyndon B. Johnson president?
1984 QUESTION  What are people born 1965 through 1980 called?
1985 QUESTION  What is the Cav's arena name?
1986 QUESTION  What city is Ole Mississippi University in?
1989 QUESTION  When was chewing tobacco banned in baseball?
1990 QUESTION  What comic book friend of Archie wears a crown-shaped hat?
1991 QUESTION  How did Minnesota get its name?
1992 QUESTION  How hot is the sun?
1993 QUESTION  How many official languages does Switzerland have?
1994 QUESTION  What was the Beatles' first number one hit?
1995 QUESTION  What department is responsible for regulating casino gambling in Mississippi?
1996 QUESTION  What city is Duke University in?
1997 QUESTION  What American revolutionary general turned over West Point to the British?
1998 QUESTION  How old was Babe Ruth when he died?
1999 QUESTION  What is the state with the smallest population?
2000 QUESTION  How many Earth days does it take for Mars to orbit the sun?
2001 QUESTION  What rock band sang "A Whole Lotta Love"?
2003 QUESTION  How far is the distance for a free throw?
2004 QUESTION  What do the opposite sides of a die add up to?
2005 QUESTION  What is the fastest roller coaster?
2007 QUESTION  How many years are there in a French president's term?
2009 QUESTION  What animal has human-like fingerprints?
2010 QUESTION  What island was Napoleon exiled to after his defeat at Waterloo?
2011 QUESTION  When was Leonardo da Vinci born?
2012 QUESTION  How did Marty Robbins die?
2013 QUESTION  How many stripes are on the American flag?
2015 QUESTION  What building is the Academy of Country Music Awards held in?
2016 QUESTION  What is the area of western Germany that is known for its rich coal deposits?
2017 QUESTION  What percent of the nation's cheese does Wisconsin produce?
2018 QUESTION  How many days are there in a Martian year?
2019 QUESTION  What Boston Red Sox infielder was given his father's first name, with the letters reversed?
2020 QUESTION  In which city would you find the Louvre?
2021 QUESTION  What is the world's largest coral reef?
2022 QUESTION  What English city does the prime meridian pass through?
2023 QUESTION  What continent is the world's largest dessert on?
2025 QUESTION  What sports stadium has been billed as "the eighth wonder of the world"?
2026 QUESTION  When was the first Olympics held?
2027 QUESTION  When was OJ Simpson arrested for murder?
2028 QUESTION  What are the biggest snakes in the world?
2029 QUESTION  How many electoral votes does Tennessee have?
2030 QUESTION  How do you say "cat" in the French language?
2031 QUESTION  Who was the ancient Egyptian god that was the patron of music and pleasure?
2032 QUESTION  What sporting event first took place in 1903?
2033 QUESTION  How many types of human blood are there?
2035 QUESTION  How many stomachs does a cow have?
2036 QUESTION  How many counties are in California?
2037 QUESTION  How did Iowa get its name?
2038 QUESTION  What did Alfred Noble invent?
2039 QUESTION  What college did Allen Iverson go to?
2040 QUESTION  What are baby frogs called?
2043 QUESTION  What amendment did Roe vs. Wade affect?
2044 QUESTION  What museum in Philadelphia was used in "Rocky"?
2045 QUESTION  When was the city of New Orleans founded?
2047 QUESTION  How close is Mercury to the sun?
2048 QUESTION  When was MTV started?
2049 QUESTION  What president served 2 nonconsecutive terms?
2050 QUESTION  What dissolves gold?
2051 QUESTION  What continent has discovered more meteorites landing spots than any other in the world?
2052 QUESTION  What county is San Antonio, Texas in?
2053 QUESTION  What duo lost their Grammy for best new artist when it was discovered that they lip-synched their songs?
2054 QUESTION  What document did Button Gwinnett sign on the upper left hand side?
2055 QUESTION  What dessert is made with poached peach halves, vanilla ice cream, and raspberry sauce?
2056 QUESTION  What band did former Red Hot Chili Peppers guitarist Dave Navarro start out with?
2057 QUESTION  How many children did Bob Marley have?
2058 QUESTION  What is the motto of the "New York Times"?
2059 QUESTION  How did Chicago get its name?
2061 QUESTION  What court case overturned Plessy v. Furgeson?
2062 QUESTION  How many legs does a beetle have?
2063 QUESTION  What Shakespeare character said, "...the law is an ass."?
2064 QUESTION  What country is Mt. Everest in?
2065 QUESTION  What is a female moose called?
2066 QUESTION  What is tequila made from?
2067 QUESTION  How many Great Lakes are there?
2068 QUESTION  What animal is responsible for the most human deaths worldwide?
2069 QUESTION  When was the first Star Wars movie made?
2070 QUESTION  What date did the U.S. civil war start?
2071 QUESTION  How many islands are there in Indonesia?
2072 QUESTION  How did Brandon Lee die?
2073 QUESTION  How fast does light travel through space?
2074 QUESTION  How tall is the tallest pyramid?
2075 QUESTION  What city in Louisiana was Britney Spears born in?
2076 QUESTION  What company owns the soft drink brand "Gatorade"?
2077 QUESTION  How big does a pig get?
2078 QUESTION  What is Corian made of?
2079 QUESTION  How do you say "who" in Spanish?
2080 QUESTION  What peace treaty ended WWI?
2081 QUESTION  Which is the longest track event in the Olympic Games?
